Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
11005133,1/11,0900,Wed,MASSACHUSETTS AVE,EDMUNDS ST,NW,At Intersect,-77.067778,38.924693,Right Turn Hit Veh.,1,2,1
12000410,1/1,1637,Sun,V ST,NEW HAMPSHIRE AVE,NW,At Intersect,-77.03549,38.918103,Right Angle,1,2,1
12000457,1/1,1901,Sun,E ST,FOURTH ST,NW,Not at Inter,-77.017551,38.873421,Side Swiped,0,2,1
12000783,1/2,1711,Mon,FOURTEENTH ST,MONROE ST,NW,At Intersect,-77.032718,38.931154,Left Turn Hit Ped.,1,2,1
12002603,1/5,2035,Thu,BILTMORE ST,COLUMBIA RD,NW,At Intersect,-77.04316,38.92231,Left Turn Hit Veh.,1,2,1
12002867,1/6,1926,Fri,,,NE,At Intersect,,,WTON ST TWENTIETH ST,1,2,1
12004356,1/9,1734,Mon,FOURTEENTH ST,H ST,NW,At Intersect,-77.081958,38.840373,Side Swiped,0,2,1
12004362,1/9,1755,Mon,FIFTH ST,R ST,NW,At Intersect,-77.018928,38.912612,Right Angle,1,2,1
12004366,1/9,1805,Mon,ELEVENTH ST,GIRARD ST,NW,Within 100ft,-77.027041,38.925751,Side Swiped,1,2,1
12004794,1/10,0900,Tue,PENNSYLVANIA AVE,NINTEENTH ST,NW,At Intersect,-77.081958,38.840373,Side Swiped,0,2,1
12006825,1/14,1119,Sat,SEVENTH ST,M ST,NW,At Intersect,-77.021908,38.905642,Right Angle,1,2,1
12007273,1/15,0846,Sun,EIGHTEENTH ST,COLUMBIA RD,NW,At Intersect,-77.042647,38.922674,Other,1,2,1
12008174,1/17,1154,Tue,SEVENTH ST,L ST,NW,At Intersect,-77.021908,38.904172,Side Swiped,1,2,1
12008568,1/18,0804,Wed,T ST,BLADENSBURG RD,NE,Not at Inter,-76.973727,38.915752,Left Turn Hit Veh.,1,2,1
12008607,1/18,0913,Wed,EIGHTH ST,G ST,NW,At Intersect,-77.022927,38.898463,Right Turn Hit Veh.,1,2,1
12008880,1/18,1900,Wed,MASSACHUSETTS AVE,ELEVENTH ST,NW,At Intersect,-77.02705,38.90395,Head On,1,2,1
12008998,1/18,2232,Wed,WISCONSIN AVE,S ST,NW,Within 100ft,-77.067198,38.914702,Side Swiped,1,2,1
12009418,1/19,1934,Thu,WEST VIRGINIA AVE,FLORIDA AVE,NE,At Intersect,-76.99311,38.90399,Side Swiped,0,2,1
12009812,1/20,1430,Fri,THIRTEENTH ST,COLUMBIA RD,NW,Within 100ft,-77.029707,38.927642,Side Swiped,0,2,1
12009840,1/20,0940,Fri,FOURTEENTH ST,KENYON ST,NW,Not at Inter,-77.032749,38.930233,Head On,1,1,1
12010471,1/21,2057,Sat,BELMONT ST,SIXTEENTH ST,NW,At Intersect,-77.036478,38.920393,Right Angle,2,2,1
12011308,1/20,2355,Fri,FOURTEENTH ST,U ST,SE,Not at Inter,-77.031948,38.917001,Side Swiped,1,2,1
12013000,1/26,2318,Thu,PARK RD,MOUNT PLEASANT ST,NW,Within 100ft,-77.081958,38.840373,19,1,2,1
12013193,1/27,1206,Fri,NORTH CAPITOL ST,FLORIDA AVE,BN,At Intersect,-77.009088,38.910823,Rear End,1,3,1
12013279,1/27,1602,Fri,EIGHTH ST,RITTENHOUSE ST,NW,At Intersect,-77.024189,38.964943,Head On,0,2,1
12014404,1/29,1805,Sun,NINTH ST,N ST,NW,At Intersect,-77.081958,38.840373,Straight Hit Ped.,1,2,1
12014411,1/28,2130,Sat,K ST,TWENTY FOURTH ST,NW,At Intersect,-77.05141,38.9024,Other,1,2,1
12014586,1/30,0841,Mon,EIGHTEENTH ST,BENNING RD,NE,At Intersect,-76.977549,38.899044,Straight Hit Ped.,0,2,1
12014654,1/30,1136,Mon,BENNING RD,TWENTY FIFTH PL,NE,"",-76.971247,38.897954,"",,,
12015067,1/31,0800,Tue,MASSACHUSETTS AVE,BELMONT RD,NW,At Intersect,-77.056747,38.916602,Right Angle,1,2,1
12015318,1/31,1701,Tue,SEVENTH ST,MASSACHUSETTS AVE,NW,At Intersect,-77.021917,38.902104,Left Turn Hit Ped.,0,2,1
12015387,1/31,1856,Tue,ELEVENTH ST,RHODE ISLAND AVE,NW,At Intersect,-77.027041,38.910513,Head On,1,2,1
12016164,2/2,0925,Thu,SEVENTEENTH ST,M ST,NW,At Intersect,-77.038497,38.905651,Left Turn Hit Veh.,1,2,1
12017024,2/3,2140,Fri,NEW JERSEY AVE,Q ST,NW,At Intersect,-77.016829,38.911124,Right Angle,1,2,1
12018148,2/6,0923,Mon,EIGHTH ST,G ST,NE,At Intersect,-77.022927,38.898463,Right Angle,1,2,1
12018559,2/7,0610,Tue,NORTH CAPITOL ST,P ST,BN,At Intersect,-77.009097,38.909632,Straight Hit Ped.,1,2,1
12018613,2/7,0944,Tue,L ST,ELEVENTH ST,NW,Not at Inter,-77.02705,38.904172,Left Turn Hit Veh.,1,2,1
12018820,2/7,1715,Tue,WASHINGTON AVE,C ST,SW,Within 100ft,-77.013029,38.886693,Right Turn Hit Ped.,1,1,1
12019098,2/8,0901,Wed,THIRTEENTH ST,HARVARD ST,NW,Within 100ft,-77.02972,38.926743,Right Angle,1,2,1
12019366,2/8,2000,Wed,P ST,NEW JERSEY AVE,NW,Not at Inter,-77.016297,38.909641,Rear End,0,2,1
